KEY,MOSS,DISPLAY,IS_DISPLAY
_16,16,16,1
_17,17,17,1
_18,18,18,1
_19,19,19,1
_20,20,20,1
_21,21,21,1
_22,22,22,1
_23,23,23,1
_24,24,24,1
_25,25,25,1
_26,26,26,1
_27,27,27,1
_28,28,28,1
_29,29,29,1
_30,30,30,1
_31,31,31,1
_32,32,32,1
_33,33,33,1
_34,34,34,1
_35,35,35,1
_36,36,36,1
_37,37,37,1
_38,38,38,1
_39,39,39,1
_40,40,40,1
_41,41,41,1
_42,42,42,1
_43,43,43,1
_44,44,44,1
_45,45,45,1
_46,46,46,1
_47,47,47,1
_48,48,48,1
_49,49,49,1
_50,50,50,1
_51,51,51,1
_52,52,52,1
_53,53,53,1
_54,54,54,1
_55,55,55,1
_56,56,56,1
_57,57,57,1
_58,58,58,1
_59,59,59,1
_60,60,60,1
_61,61,61,1
_62,62,62,1
_63,63,63,1
_64,64,64,1
_65,65,65,1
_66,66,66,1
_67,67,67,1
_68,68,68,1
_69,69,69,1
_70,70,70,1
_71,71,71,1
_72,72,72,1
_73,73,73,1
_74,74,74,1
_75,75,75,1
