KEY,MOSS_CODE,MOSS,DISPLAY,IS_DISPLAY
_21ST_CENTURY,1,21st Century,21st Century,1
_AAA,2,AAA,AAA,1
_AABCO,3,AABCO,AABCO,1
_AARP,4,AARP,AARP,1
_ACCESS_INSURANCE,5,Access Insurance,Access Insurance,1
_ACORDIA,6,Acordia,Acordia,1
_AEGIS_SECURITY,7,Aegis Security,Aegis Security,1
_AETNA,8,AETNA,AETNA,1
_AFFIRMATIVE,9,Affirmative,Affirmative,1
_AFLAC,10,AFLAC,AFLAC,1
_AHCP,11,AHCP,AHCP,1
_AIG,12,AIG,AIG,1
_AIU,13,AIU,AIU,1
_ALFA_INSURANCE,417,Alfa Insurance,Alfa Insurance,1
_ALL_NATION,14,All Nation,All Nation,1
_ALL_RISK,15,All Risk,All Risk,1
_ALLIANZ,16,Allianz,Allianz,1
_ALLIED,17,Allied,Allied,1
_ALLSTATE,18,Allstate,Allstate,1
_AMERICAN_ALLIANCE,19,American Alliance,American Alliance,1
_AMERICAN_AUTOMOBILE_INSURANCE,20,American Automobile Insurance,American Automobile Insurance,1
_AMERICAN_BANKS,21,American Banks,American Banks,1
_AMERICAN_CASUALTY,22,American Casualty,American Casualty,1
_AMERICAN_COMMUNITY,442,American Community,American Community,1
_AMERICAN_DEPOSIT_INSURANCE,23,American Deposit Insurance,American Deposit Insurance,1
_AMERICAN_DIRECT_BUSINESS_INSURANCE,24,American Direct Business Insurance,American Direct Business Insurance,1
_AMERICAN_ECONOMY,25,American Economy,American Economy,1
_AMERICAN_EMPIRE_INSURANCE,26,American Empire Insurance,American Empire Insurance,1
_AMERICAN_EQUITY,443,American Equity,American Equity,1
_AMERICAN_FAMILY,27,American Family,American Family,1
_AMERICAN_FINANCIAL,28,American Financial,American Financial,1
_AMERICAN_HEALTH_UNDERWRITERS,29,American Health Underwriters,American Health Underwriters,1
_AMERICAN_HOME_ASSURANCE,30,American Home Assurance,American Home Assurance,1
_AMERICAN_INSURANCE,31,American Insurance,American Insurance,1
_AMERICAN_INTERNATIONAL,32,American International,American International,1
_AMERICAN_INTERNATIONAL_PACIFIC,33,American International Pacific,American International Pacific,1
_AMERICAN_INTERNATIONAL_SOUTH,34,American International South,American International South,1
_AMERICAN_MANUFACTURERS,35,American Manufacturers,American Manufacturers,1
_AMERICAN_MAYFLOWER_INSURANCE,36,American Mayflower Insurance,American Mayflower Insurance,1
_AMERICAN_MEDICAL_SECURITIES,37,American Medical Securities,American Medical Securities,1
_AMERICAN_MOTORISTS_INSURANCE,38,American Motorists Insurance,American Motorists Insurance,1
_AMERICAN_NATIONAL,39,American National,American National,1
_AMERICAN_NATIONAL_PROPERTY_AND_CASUALTY,40,American National Property and Casualty,American National Property and Casualty,1
_AMERICAN_PREMIER,41,American Premier,American Premier,1
_AMERICAN_PROTECTION_INSURANCE,42,American Protection Insurance,American Protection Insurance,1
_AMERICAN_RELIABLE,43,American Reliable,American Reliable,1
_AMERICAN_REPUBLIC,44,American Republic,American Republic,1
_AMERICAN_SAVERS_PLAN,45,American Savers Plan,American Savers Plan,1
_AMERICAN_SERVICE_INSURANCE,46,American Service Insurance,American Service Insurance,1
_AMERICAN_SKYLINE_INSURANCE_COMPANY,47,American Skyline Insurance Company,American Skyline Insurance Company,1
_AMERICAN_SPIRIT_INSURANCE,48,American Spirit Insurance,American Spirit Insurance,1
_AMERICAN_STANDARD,49,American Standard,American Standard,1
_AMERICAN_STATES,50,American States,American States,1
_AMERICA'S_INS._CONSULTANTS,51,America's Ins. Consultants,America's Ins. Consultants,1
_AMERIPLAN,52,AmeriPlan,AmeriPlan,1
_AMERISURE,53,Amerisure,Amerisure,1
_AMERUS,444,Amerus,Amerus,1
_AMICA,54,Amica,Amica,1
_ANSWER_FINANCIAL,55,Answer Financial,Answer Financial,1
_ANTHEM,56,Anthem,Anthem,1
_API,57,API,API,1
_ARBELLA,58,Arbella,Arbella,1
_ARIZONA_GENERAL,59,Arizona General,Arizona General,1
_ARMED_FORCES_INSURANCE,60,Armed Forces Insurance,Armed Forces Insurance,1
_ASSIGNED_RISK,61,Assigned Risk,Assigned Risk,1
_ASSOCIATED_INDEMNITY,62,Associated Indemnity,Associated Indemnity,1
_ASSOCIATED_INSURANCE_MANAGERS,63,Associated Insurance Managers,Associated Insurance Managers,1
_ASSURANT,64,Assurant,Assurant,1
_ATLANTA_CASUALTY,65,Atlanta Casualty,Atlanta Casualty,1
_ATLANTA_SPECIALTY,66,Atlanta Specialty,Atlanta Specialty,1
_ATLANTIC_INDEMNITY,67,Atlantic Indemnity,Atlantic Indemnity,1
_ATLANTIS,68,Atlantis,Atlantis,1
_AUSTIN_MUTUAL,69,Austin Mutual,Austin Mutual,1
