KEY,MOSS,DISPLAY,IS_DISPLAY
_CARELESS_DRIVING,Careless Driving,Careless Driving,1
_DEFECTIVE_EQUIPMENT,Defective Equipment,Defective Equipment,1
_FAILURE_TO_OBEY_SIGNAL,Failure To Obey Signal,Failure To Obey Signal,1
_SPEEDING_VIOLATION,Speeding Violation,Speeding Violation,1
_INVALID_LICENSE,Invalid License,Invalid License,1
_NO_INSURANCE,No Insurance,No Insurance,1
_NO_LICENSE,No License,No License,1
_NO_SEATBELT,No Seatbelt,No Seatbelt,1
_RECKLESS_DRIVING,Reckless Driving,Reckless Driving,1
_SAFETY_VIOLATION,Safety Violation,Safety Violation,1
_SPEEDING_100_OVER,Speeding 100 Over,Speeding 100 Over,1
_SPEEDING_10_TO_20_OVER,Speeding 10 to 20 Over,Speeding 10 to 20 Over,1
_SPEEDING_20_OVER,Speeding 20 Over,Speeding 20 Over,1
_SPEEDING_UNDER_10_OVER,Speeding Under 10 Over,Speeding Under 10 Over,1
_TICKET_VIOLATION_NOT_LISTED,Ticket Violation Not Listed,Ticket Violation Not Listed,1
